transaction_id,user_id,date,category,amount
TXN0000001,U05318,2025-01-19,Stocks,1077.16
TXN0000002,U04201,2025-08-27,Food & Drink,74.96
TXN0000003,U07780,2024-05-22,Stocks,2629.87
TXN0000004,U04436,2025-11-28,Food & Drink,66.75
TXN0000005,U00463,2025-08-24,Bills,75.27
TXN0000006,U02605,2025-07-02,Transport,52.31
TXN0000007,U03741,2025-11-01,Food & Drink,20.4
TXN0000008,U00116,2025-09-08,Bills,101.26
TXN0000009,U01090,2025-09-22,Transport,34.4
TXN0000010,U06190,2025-12-16,Bills,260.18
TXN0000011,U00716,2025-06-27,Transfer,1021.42
TXN0000012,U01288,2025-12-16,Entertainment,114.39
TXN0000013,U02407,2024-09-30,Food & Drink,24.29
TXN0000014,U03592,2025-03-28,Travel,1198.88
TXN0000015,U04929,2025-06-16,Food & Drink,60.89
TXN0000016,U03034,2025-10-12,Transfer,1140.68
TXN0000017,U02452,2025-08-03,Bills,58.05
TXN0000018,U01714,2025-08-26,Crypto,847.41
TXN0000019,U01813,2025-12-31,Bills,483.43
TXN0000020,U03379,2025-12-17,Transfer,336.35
TXN0000021,U00818,2025-04-25,Food & Drink,27.6
TXN0000022,U06319,2025-09-25,Entertainment,148.58
TXN0000023,U04738,2025-09-11,Shopping,197.15
TXN0000024,U05957,2025-01-19,Transfer,552.22
TXN0000025,U04690,2025-10-14,Entertainment,34.61
TXN0000026,U01139,2025-10-05,Travel,211.38
TXN0000027,U03680,2024-06-29,Transport,22.35
TXN0000028,U05643,2025-11-13,Shopping,145.62
TXN0000029,U04942,2024-07-04,Shopping,196.17
TXN0000030,U00473,2024-06-21,Food & Drink,6.75
TXN0000031,U00003,2024-05-14,Food & Drink,31.03
TXN0000032,U07183,2025-12-25,Bills,270.5
TXN0000033,U06885,2024-06-19,Shopping,106.78
TXN0000034,U05002,2025-03-26,Transport,30.02
TXN0000035,U05615,2025-06-16,Stocks,2840.65
TXN0000036,U05395,2025-05-31,Food & Drink,23.89
TXN0000037,U03576,2025-08-21,Bills,243.42
TXN0000038,U01113,2025-12-13,Bills,430.84
TXN0000039,U07298,2025-10-27,Food & Drink,60.67
TXN0000040,U03251,2025-09-15,Shopping,104.27
TXN0000041,U07666,2025-06-29,Transfer,58.23
TXN0000042,U05355,2025-05-31,Shopping,109.82
TXN0000043,U03425,2025-09-17,Crypto,250.21
TXN0000044,U02368,2024-12-26,Entertainment,32.64
TXN0000045,U05371,2024-09-23,Transfer,976.37
TXN0000046,U03978,2025-12-02,Shopping,13.13
TXN0000047,U05030,2025-06-17,Transport,58.1
TXN0000048,U07735,2025-05-05,Shopping,92.37
TXN0000049,U06726,2024-06-01,Shopping,93.03
TXN0000050,U05154,2025-08-04,Transport,28.27
TXN0000051,U04808,2025-12-30,Shopping,101.21
TXN0000052,U03412,2025-06-09,Bills,164.21
TXN0000053,U04292,2025-11-14,Travel,1662.58
TXN0000054,U01225,2025-04-19,Travel,2681.81
TXN0000055,U03624,2025-12-18,Shopping,190.83
TXN0000056,U01384,2025-08-25,Transport,21.81
TXN0000057,U07287,2025-09-10,Food & Drink,47.63
TXN0000058,U05654,2025-09-24,Food & Drink,75.43
TXN0000059,U01555,2025-09-13,Shopping,66.1
TXN0000060,U01808,2025-06-05,Crypto,858.97
TXN0000061,U06872,2025-11-16,Shopping,48.28
TXN0000062,U06331,2024-05-27,Shopping,121.4
TXN0000063,U07048,2025-10-03,Shopping,43.81
TXN0000064,U03891,2025-10-20,Bills,453.19
TXN0000065,U06106,2025-10-09,Transfer,745.6
TXN0000066,U03294,2024-10-22,Bills,282.67
TXN0000067,U06534,2025-08-20,Food & Drink,30.62
TXN0000068,U03824,2025-12-25,Transfer,80.42
TXN0000069,U00171,2025-01-07,Transfer,1288.02
TXN0000070,U01757,2025-10-11,Food & Drink,76.19
TXN0000071,U02609,2024-12-02,Entertainment,85.3
TXN0000072,U02151,2024-08-01,Crypto,762.4
TXN0000073,U04897,2025-12-30,Shopping,157.26
TXN0000074,U04272,2025-09-11,Food & Drink,10.89
TXN0000075,U03970,2025-08-23,Shopping,135.61
TXN0000076,U04806,2025-12-25,Transfer,922.46
TXN0000077,U06438,2025-05-31,Shopping,83.46
TXN0000078,U04839,2025-11-01,Transport,19.45
TXN0000079,U04875,2025-11-21,Bills,180.17
TXN0000080,U02805,2024-10-14,Crypto,856.64
TXN0000081,U04908,2024-12-01,Food & Drink,52.65
TXN0000082,U01307,2025-05-10,Travel,897.77
TXN0000083,U06951,2025-11-28,Shopping,161.2
TXN0000084,U07532,2025-05-15,Food & Drink,38.28
TXN0000085,U03057,2025-08-28,Bills,466.76
TXN0000086,U05877,2025-03-11,Shopping,85.61
TXN0000087,U05768,2025-08-01,Travel,151.13
TXN0000088,U04028,2025-12-29,Food & Drink,14.58
TXN0000089,U00845,2025-02-17,Food & Drink,43.07
TXN0000090,U01581,2025-12-14,Bills,196.16
TXN0000091,U00978,2025-05-25,Shopping,109.58
TXN0000092,U01971,2025-06-06,Shopping,30.14
TXN0000093,U06302,2025-01-03,Food & Drink,43.17
TXN0000094,U03224,2024-11-27,Entertainment,123.7
TXN0000095,U05484,2024-12-28,Shopping,63.39
TXN0000096,U07342,2025-01-23,Bills,495.92
TXN0000097,U05672,2025-04-08,Food & Drink,10.53
TXN0000098,U03609,2025-08-08,Shopping,170.98
TXN0000099,U02507,2025-05-15,Bills,103.9
TXN0000100,U02937,2024-05-20,Transport,31.08
TXN0000101,U01866,2024-11-08,Food & Drink,45.98
TXN0000102,U02544,2025-01-03,Bills,95.34
TXN0000103,U01591,2024-12-25,Shopping,78.04
TXN0000104,U05965,2024-12-12,Transport,29.26
TXN0000105,U04700,2025-08-30,Transport,32.57
TXN0000106,U01643,2025-01-13,Food & Drink,78.02
TXN0000107,U03846,2025-06-02,Crypto,846.8
TXN0000108,U05902,2024-11-23,Shopping,67.71
TXN0000109,U01318,2025-12-18,Crypto,182.82
TXN0000110,U05646,2025-10-21,Food & Drink,10.4
TXN0000111,U01712,2025-10-10,Shopping,20.55
TXN0000112,U01305,2025-11-08,Shopping,12.42
TXN0000113,U07205,2024-11-12,Transport,35.9
TXN0000114,U01096,2025-04-23,Crypto,992.45
TXN0000115,U04098,2025-08-28,Food & Drink,17.57
TXN0000116,U02899,2025-12-14,Shopping,115.1
TXN0000117,U07678,2024-12-12,Food & Drink,70.3
TXN0000118,U01984,2024-08-31,Crypto,805.51
TXN0000119,U06747,2025-01-11,Food & Drink,14.95
TXN0000120,U03595,2024-11-12,Bills,82.28
TXN0000121,U01893,2025-01-26,Transfer,58.41
TXN0000122,U00180,2025-11-16,Food & Drink,62.16
TXN0000123,U06323,2024-11-10,Shopping,137.06
TXN0000124,U00069,2025-12-06,Shopping,94.96
TXN0000125,U01203,2025-11-06,Shopping,168.85
TXN0000126,U00651,2025-11-10,Shopping,143.45
TXN0000127,U04636,2025-12-18,Bills,477.18
TXN0000128,U07353,2025-12-19,Bills,24.98
TXN0000129,U01885,2025-03-12,Entertainment,9.82
TXN0000130,U01146,2025-09-27,Food & Drink,68.15
TXN0000131,U05509,2025-12-22,Transport,26.77
TXN0000132,U03867,2025-07-06,Food & Drink,53.93
