user_id,signup_date,country,age,plan,adopted_features,churned,days_inactive
U00001,2024-08-08,Other,31,Standard,Vaults,1,210
U00002,2024-11-14,Germany,48,Standard,Crypto,1,91
U00003,2024-01-13,Other,48,Metal,Travel Insurance; Rewards; Card Payments; Stocks; FX Transfer; Vaults,1,107
U00004,2024-01-18,UK,25,Plus,Vaults; Budgeting,0,21
U00005,2024-08-21,UK,52,Plus,Stocks; Travel Insurance,0,3
U00006,2025-12-26,France,64,Premium,Rewards; Vaults,0,1
U00007,2025-04-06,Poland,36,Metal,Rewards; Card Payments; Stocks; Travel Insurance; Crypto; Budgeting,0,34
U00008,2025-02-04,UK,38,Standard,Budgeting,0,4
U00009,2025-11-17,UK,35,Plus,Card Payments; Crypto,0,6
U00010,2025-07-20,Other,33,Standard,Crypto,0,14
U00011,2025-03-03,Portugal,34,Premium,Card Payments; Budgeting; Crypto,1,110
U00012,2025-07-25,France,33,Plus,Travel Insurance,0,22
U00013,2024-06-15,Spain,57,Standard,FX Transfer,1,106
U00014,2025-04-20,Portugal,18,Plus,Travel Insurance,0,76
U00015,2024-03-19,UK,40,Plus,Rewards; Budgeting,0,3
U00016,2024-04-05,UK,23,Premium,Travel Insurance,0,16
U00017,2024-10-26,Spain,31,Plus,Vaults,1,157
U00018,2025-11-10,France,37,Standard,FX Transfer,0,1
U00019,2025-10-21,UK,38,Standard,Travel Insurance,0,9
U00020,2025-03-28,France,28,Standard,Budgeting,0,34
U00021,2025-06-19,Spain,47,Standard,Travel Insurance,0,41
U00022,2024-06-16,France,23,Standard,Budgeting,0,33
U00023,2025-12-26,France,19,Premium,Card Payments; Stocks,0,1
U00024,2025-03-14,UK,35,Standard,Stocks,1,97
U00025,2025-01-13,UK,20,Metal,FX Transfer; Rewards; Stocks; Travel Insurance; Card Payments; Budgeting,0,6
U00026,2025-05-23,Poland,32,Standard,Vaults; Travel Insurance,0,15
U00027,2025-11-13,Spain,28,Plus,Vaults; Rewards; Card Payments,0,5
U00028,2025-09-07,UK,23,Premium,Stocks; Rewards; Budgeting,0,49
U00029,2025-03-31,UK,37,Standard,Rewards,0,14
U00030,2025-09-21,Poland,59,Standard,Budgeting; Rewards,0,2
U00031,2024-03-07,Other,45,Standard,Rewards,0,70
U00032,2025-03-26,UK,38,Premium,Stocks; Crypto; Travel Insurance,0,10
U00033,2025-08-28,UK,27,Standard,Stocks; Vaults,0,25
U00034,2025-02-21,France,58,Standard,Card Payments,0,61
